name,edition_year,date_start,date_end,event_type,competitive,terrain,bike_type,start_city,province,region,country,distances_km,elevation_gain_m,start_time,participant_limit,registration_fee,registration_deadline,registration_url,website,email,phone,instagram,facebook,organizer,circuit,first_edition,description,image_url,source
Turin Hills,2026,2026-03-28,2026-03-29,bikepacking,non-competitive,gravel/road,gravel,Arignano,Torino,Piemonte,Italia,,,,,,,,turinhills.it,turinhills@gmail.com,,https://www.instagram.com/turin_hills/,,ASD BBP Gravel Firenze,,,Non-competitive bikepacking route linking Turin to the Asti Monferrato on minor roads and dirt tracks.,,comune.arignano.to.it
Nova Eroica Buonconvento,2026,2026-04-12,,ciclostorica,mixed (timed+free),white roads/gravel,gravel/vintage,Buonconvento,Siena,Toscana,Italia,,,,,,,,eroica.cc,,,https://www.instagram.com/eroica.cc/,https://www.facebook.com/Eroica,Eroica Gaiole,Eroica & Nova Eroica,,Modern gravel version of Eroica with timed and free-pace sections in the Crete Senesi.,https://www.eroica.cc/wp-content/uploads/2025/01/Screenshot-2025-01-27-alle-16.12.37.png,eroica.cc
Terre di Pisa Bike Trail,2026,2026-04-17,2026-04-19,trail/bikepacking,non-competitive,gravel,gravel,Pisa,Pisa,Toscana,Italia,450/300,10000/5000,,,,,,terredipisabiketrail.it,turismo@tno.camcom.it,,https://www.instagram.com/terredipisa.biketrail,https://www.facebook.com/terredipisa.biketrail/,,,,"A slow, deep gravel journey through the province of Pisa.",https://www.terredipisabiketrail.it/wp-content/uploads/2026/02/tuscany-66.jpg,fieradelcicloturismo.it
Nova Eroica Prosecco Hills,2026,2026-04-26,,ciclostorica,mixed (timed+free),white roads/gravel,gravel/vintage,Conegliano Valdobbiadene,Treviso,Veneto,Italia,,,,,,,,eroica.cc,,,https://www.instagram.com/eroica.cc/,https://www.facebook.com/Eroica,Eroica Gaiole,Eroica & Nova Eroica,,Gravel Eroica event among the Prosecco hills (UNESCO).,https://www.eroica.cc/wp-content/uploads/2025/01/Screenshot-2025-01-27-alle-16.12.37.png,eroica.cc
Ciclostorica Epica Vanvitelliana,2026,2026-05-24,,ciclostorica,non-competitive,mixed road,vintage,San Leucio (Caserta),Caserta,Campania,Italia,85/35,,,,,,,epicavanvitelliana.it,,,https://www.instagram.com/epica.vanvitelliana/,,,Giro delle Regioni Ciclostoriche,,Vintage cycling event around the Reggia di Caserta.,https://epicavanvitelliana.it/wp-content/uploads/2026/02/epica-vanvitelliana-24-maggio-corretta.jpg,battistrada.com
Pave,2026,2026-05-08,2026-05-10,festival/bike days,non-competitive,mixed,any,Venezia (Mestre),Venezia,Veneto,Italia,,,,,,,,pedalandoavenezia.com,info@pedalandoavenezia.com,,https://www.instagram.com/la_velostazione,https://www.facebook.com/velostazionevenezia,,,,Three days of cycling culture and bike days in the Venice area.,https://www.pedalandoavenezia.com/wp-content/uploads/2024/01/pave_logo_header_black_2024.png,fieradelcicloturismo.it
80 Voglia di Gravel,2026,2026-05-09,,gravel,non-competitive,gravel,gravel,Rapolano Terme,Siena,Toscana,Italia,200/155/89/41,3800/3000/1800/700,,,35-45 EUR,,https://join.endu.net/entry?edition=100447,80vogliadigravel.com,gravelbikesiena@outlook.it,,https://www.instagram.com/80vogliadi_gravel/,https://www.facebook.com/gravelbikesiena,,,,Non-competitive gravel gathering on Tuscan white roads.,https://80vogliadigravel.com/wp-content/uploads/2025/10/14d9067d-edd6-4e22-91ff-624dea7c18b2.jpeg,fieradelcicloturismo.it
Vesuvio Gravel,2026,2026-05-22,2026-05-24,gravel,non-competitive,gravel,gravel,Pozzuoli,Napoli,Campania,Italia,370,,,,60 EUR (54 ARI; 100 on-site),,,vesuviogravel.it,,+39 338 2127542,https://www.instagram.com/vesuviogravel/,https://www.facebook.com/p/Vesuvio-Gravel-61553158269766/,,,,Unique gravel route between land and sea around Vesuvius and the Campi Flegrei.,https://www.vesuviogravel.it/wp-content/uploads/2025/05/Logo-Vesuviogravel-2025-bianco.webp,fieradelcicloturismo.it
Shardana Bikeventure,2026,2026-05-01,2026-05-14,bikepacking,non-competitive,gravel/MTB,gravel/MTB,Olbia,Sassari,Sardegna,Italia,1100/875/490,,,,,,,shardanabikeventure.com,,,https://www.instagram.com/shardanabikeventure,https://www.facebook.com/shardanabikeventureofficial,,,,Self-supported bikepacking immersion across Sardinia.,https://static.wixstatic.com/media/9968d8_da0cb2ee10ec45fc9c87722a2bcae9d0~mv2.webp,fieradelcicloturismo.it
INFINITOO Marche Bikepacking,2026,2026-05-29,2026-06-02,bikepacking,non-competitive,gravel/MTB/e-bike,gravel/MTB/e-bike,Montefano,Macerata,Marche,Italia,400/250/150,,,,,,,infinitoo.cc,info@infinitoo.cc,,https://www.instagram.com/infinitoo.cc/,,,,,Multi-distance bikepacking gathering across the Marche.,https://infinitoo.cc/images/block/No-Race-Recanati-Palazzo-Venieri.jpg,battistrada.com
